ts,active_sessions,cpu,io_file,io_table,lock,synch,other
1785276244.29,0,0,0,0,0,0,0
1785276244.39,0,0,0,0,0,0,0
1785276244.49,0,0,0,0,0,0,0
1785276244.59,2,1,0,0,1,0,0
1785276244.69,0,0,0,0,0,0,0
1785276244.79,0,0,0,0,0,0,0
1785276244.89,0,0,0,0,0,0,0
1785276244.99,0,0,0,0,0,0,0
1785276245.09,0,0,0,0,0,0,0
1785276245.20,0,0,0,0,0,0,0
1785276245.30,0,0,0,0,0,0,0
1785276245.40,1,0,0,0,0,0,1
1785276245.50,1,1,0,0,0,0,0
1785276245.60,1,0,0,0,1,0,0
1785276245.71,0,0,0,0,0,0,0
1785276245.81,0,0,0,0,0,0,0
1785276245.91,3,1,0,0,0,0,2
1785276246.01,2,2,0,0,0,0,0
1785276246.11,3,2,0,0,0,0,1
1785276246.21,0,0,0,0,0,0,0
1785276246.31,0,0,0,0,0,0,0
1785276246.41,0,0,0,0,0,0,0
1785276246.51,0,0,0,0,0,0,0
1785276246.61,0,0,0,0,0,0,0
1785276246.71,0,0,0,0,0,0,0
1785276246.81,0,0,0,0,0,0,0
1785276246.91,0,0,0,0,0,0,0
1785276247.02,0,0,0,0,0,0,0
1785276247.12,0,0,0,0,0,0,0
1785276247.22,0,0,0,0,0,0,0
1785276247.32,1,1,0,0,0,0,0
1785276247.42,0,0,0,0,0,0,0
1785276247.52,1,1,0,0,0,0,0
1785276247.62,0,0,0,0,0,0,0
1785276247.72,0,0,0,0,0,0,0
1785276247.82,0,0,0,0,0,0,0
1785276247.92,0,0,0,0,0,0,0
1785276248.02,0,0,0,0,0,0,0
1785276248.12,0,0,0,0,0,0,0
1785276248.22,0,0,0,0,0,0,0
1785276248.32,0,0,0,0,0,0,0
1785276248.43,0,0,0,0,0,0,0
1785276248.53,0,0,0,0,0,0,0
1785276248.63,0,0,0,0,0,0,0
1785276248.73,1,0,0,0,0,0,1
1785276248.83,3,2,0,0,0,0,1
1785276248.93,0,0,0,0,0,0,0
1785276249.03,0,0,0,0,0,0,0
1785276249.13,0,0,0,0,0,0,0
1785276249.23,1,0,0,0,0,0,1
1785276249.33,0,0,0,0,0,0,0
1785276249.43,0,0,0,0,0,0,0
1785276249.53,1,1,0,0,0,0,0
1785276249.63,0,0,0,0,0,0,0
1785276249.73,0,0,0,0,0,0,0
1785276249.84,1,1,0,0,0,0,0
1785276249.94,0,0,0,0,0,0,0
1785276250.04,1,1,0,0,0,0,0
1785276250.14,1,1,0,0,0,0,0
1785276250.24,0,0,0,0,0,0,0
1785276250.34,0,0,0,0,0,0,0
1785276250.44,1,1,0,0,0,0,0
1785276250.54,1,0,0,0,0,0,1
1785276250.64,1,1,0,0,0,0,0
1785276250.74,0,0,0,0,0,0,0
1785276250.85,1,0,0,0,0,0,1
1785276250.95,1,1,0,0,0,0,0
1785276251.05,1,1,0,0,0,0,0
1785276251.15,0,0,0,0,0,0,0
1785276251.25,1,0,0,0,0,0,0
1785276251.35,0,0,0,0,0,0,0
1785276251.45,0,0,0,0,0,0,0
1785276251.55,0,0,0,0,0,0,0
1785276251.65,2,2,0,0,0,0,0
1785276251.75,0,0,0,0,0,0,0
1785276251.85,0,0,0,0,0,0,0
1785276251.95,0,0,0,0,0,0,0
1785276252.05,1,1,0,0,0,0,0
1785276252.15,0,0,0,0,0,0,0
1785276252.26,0,0,0,0,0,0,0
1785276252.35,0,0,0,0,0,0,0
1785276252.46,0,0,0,0,0,0,0
1785276252.56,0,0,0,0,0,0,0
1785276252.66,1,1,0,0,0,0,0
1785276252.76,0,0,0,0,0,0,0
1785276252.86,1,0,0,0,0,0,1
1785276252.96,3,2,0,1,0,0,0
1785276253.06,0,0,0,0,0,0,0
1785276253.16,2,1,0,1,0,0,0
1785276253.26,0,0,0,0,0,0,0
1785276253.36,0,0,0,0,0,0,0
1785276253.46,1,0,0,1,0,0,0
1785276253.56,0,0,0,0,0,0,0
1785276253.66,0,0,0,0,0,0,0
1785276253.76,0,0,0,0,0,0,0
1785276253.86,1,0,0,0,0,0,1
1785276253.96,0,0,0,0,0,0,0
1785276254.07,1,0,0,0,0,0,1
1785276254.17,0,0,0,0,0,0,0
1785276254.27,0,0,0,0,0,0,0
1785276254.37,0,0,0,0,0,0,0
1785276254.47,0,0,0,0,0,0,0
1785276254.57,2,0,0,2,0,0,0
1785276254.67,0,0,0,0,0,0,0
1785276254.77,1,1,0,0,0,0,0
1785276254.87,0,0,0,0,0,0,0
1785276254.97,0,0,0,0,0,0,0
1785276255.07,0,0,0,0,0,0,0
1785276255.17,0,0,0,0,0,0,0
1785276255.27,0,0,0,0,0,0,0
1785276255.37,0,0,0,0,0,0,0
1785276255.47,0,0,0,0,0,0,0
1785276255.57,1,1,0,0,0,0,0
1785276255.67,0,0,0,0,0,0,0
1785276255.77,0,0,0,0,0,0,0
1785276255.88,0,0,0,0,0,0,0
1785276255.98,0,0,0,0,0,0,0
1785276256.08,0,0,0,0,0,0,0
1785276256.18,0,0,0,0,0,0,0
1785276256.28,0,0,0,0,0,0,0
1785276256.38,0,0,0,0,0,0,0
1785276256.48,0,0,0,0,0,0,0
1785276256.58,2,1,0,0,0,1,0
1785276256.68,0,0,0,0,0,0,0
1785276256.78,0,0,0,0,0,0,0
1785276256.88,0,0,0,0,0,0,0
1785276256.99,0,0,0,0,0,0,0
1785276257.09,0,0,0,0,0,0,0
1785276257.19,1,1,0,0,0,0,0
1785276257.29,1,1,0,0,0,0,0
1785276257.39,1,1,0,0,0,0,0
1785276257.49,2,2,0,0,0,0,0
1785276257.59,1,1,0,0,0,0,0
1785276257.69,1,1,0,0,0,0,0
1785276257.79,2,1,0,0,0,0,1
1785276257.89,0,0,0,0,0,0,0
1785276258.00,1,1,0,0,0,0,0
1785276258.10,0,0,0,0,0,0,0
1785276258.20,0,0,0,0,0,0,0
1785276258.30,0,0,0,0,0,0,0
1785276258.40,0,0,0,0,0,0,0
1785276258.50,0,0,0,0,0,0,0
1785276258.60,1,0,0,0,0,0,1
1785276258.70,0,0,0,0,0,0,0
1785276258.80,0,0,0,0,0,0,0
1785276258.90,0,0,0,0,0,0,0
1785276259.00,0,0,0,0,0,0,0
1785276259.10,0,0,0,0,0,0,0
1785276259.20,0,0,0,0,0,0,0
1785276259.30,0,0,0,0,0,0,0
1785276259.40,2,0,0,0,0,0,2
1785276259.51,1,0,0,1,0,0,0
1785276259.61,0,0,0,0,0,0,0
1785276259.71,0,0,0,0,0,0,0
1785276259.81,1,1,0,0,0,0,0
1785276259.91,1,0,0,1,0,0,0
1785276260.01,1,1,0,0,0,0,0
