ts,seq,amount
1785275728.995,410,10000
1785275729.021,411,30000
1785275729.048,412,3000
1785275729.077,413,1000
1785275729.107,414,3000
1785275729.134,415,5000
1785275729.163,416,10000
1785275729.188,417,10000
1785275729.216,418,10000
1785275729.244,419,10000
1785275729.274,420,30000
1785275729.301,421,1000
1785275729.332,422,1000
1785275729.362,423,1000
1785275729.388,424,5000
1785275729.417,425,30000
1785275729.442,426,1000
1785275729.465,427,1000
1785275729.494,428,5000
1785275729.519,429,3000
1785275729.547,430,10000
1785275729.571,431,3000
1785275729.599,432,1000
1785275729.627,433,3000
1785275729.654,434,3000
1785275729.683,435,10000
1785275729.708,436,10000
1785275729.736,437,30000
1785275729.763,438,10000
1785275729.788,439,30000
1785275729.816,440,5000
1785275729.843,441,30000
1785275729.873,442,1000
1785275729.902,443,5000
1785275729.929,444,1000
1785275729.955,445,10000
1785275729.984,446,1000
1785275730.010,447,5000
1785275730.036,448,5000
1785275730.061,449,5000
1785275730.087,450,30000
1785275730.113,451,5000
1785275730.138,452,3000
1785275730.164,453,10000
1785275730.194,454,10000
1785275730.222,455,1000
1785275730.251,456,10000
1785275730.276,457,5000
1785275730.304,458,30000
1785275730.332,459,10000
1785275730.359,460,5000
1785275730.388,461,10000
1785275730.415,462,1000
1785275730.443,463,3000
1785275730.469,464,3000
1785275730.496,465,10000
1785275730.519,466,30000
1785275730.544,467,3000
1785275730.573,468,30000
1785275730.598,469,5000
1785275730.625,470,30000
1785275730.650,471,10000
1785275730.677,472,1000
1785275730.704,473,30000
1785275730.733,474,5000
1785275730.759,475,30000
1785275730.789,476,3000
1785275730.815,477,10000
1785275730.845,478,5000
1785275730.872,479,1000
1785275730.901,480,1000
1785275730.927,481,30000
1785275730.956,482,5000
1785275730.984,483,5000
1785275731.013,484,3000
1785275731.039,485,30000
1785275731.065,486,30000
1785275731.094,487,1000
1785275731.121,488,30000
1785275731.146,489,1000
1785275731.171,490,5000
1785275731.196,491,10000
1785275731.222,492,1000
1785275731.251,493,3000
1785275731.279,494,1000
1785275731.307,495,5000
1785275731.333,496,5000
1785275731.360,497,10000
1785275731.388,498,5000
1785275731.419,499,1000
1785275731.447,500,5000
1785275731.475,501,10000
1785275731.506,502,1000
1785275731.530,503,5000
1785275731.559,504,10000
1785275731.583,505,1000
1785275731.609,506,3000
1785275731.639,507,10000
1785275731.667,508,1000
1785275731.696,509,1000
1785275731.721,510,1000
1785275731.747,511,10000
1785275731.775,512,5000
1785275731.801,513,1000
1785275731.826,514,3000
1785275731.857,515,30000
1785275731.887,516,3000
1785275731.916,517,30000
1785275731.942,518,30000
1785275731.966,519,5000
1785275731.994,520,10000
1785275732.018,521,1000
1785275732.042,522,10000
1785275732.077,523,3000
1785275732.100,524,30000
1785275732.128,525,30000
1785275732.151,526,3000
1785275732.179,527,3000
1785275732.206,528,3000
1785275732.233,529,30000
1785275732.260,530,3000
1785275732.288,531,30000
1785275732.314,532,30000
1785275732.342,533,3000
1785275732.366,534,5000
1785275732.391,535,30000
1785275732.419,536,30000
1785275732.446,537,1000
1785275732.470,538,3000
1785275732.499,539,1000
1785275732.528,540,10000
1785275732.554,541,1000
1785275732.580,542,3000
1785275732.606,543,3000
1785275732.634,544,1000
1785275732.660,545,30000
1785275732.687,546,1000
1785275732.716,547,30000
1785275732.744,548,1000
1785275732.773,549,30000
1785275732.799,550,30000
1785275732.828,551,10000
1785275732.855,552,1000
1785275732.879,553,30000
1785275732.905,554,30000
1785275732.934,555,10000
1785275732.959,556,3000
1785275732.986,557,10000
1785275733.018,558,30000
1785275733.043,559,10000
1785275733.071,560,1000
1785275733.100,561,30000
1785275733.146,562,3000
1785275733.174,563,3000
1785275733.197,564,1000
1785275733.224,565,5000
1785275733.248,566,5000
1785275733.274,567,5000
1785275733.302,568,1000
1785275733.328,569,30000
1785275733.355,570,1000
1785275733.383,571,1000
1785275733.408,572,10000
1785275733.432,573,30000
1785275733.460,574,1000
1785275733.485,575,1000
1785275733.510,576,3000
1785275733.536,577,30000
1785275733.565,578,1000
1785275733.591,579,1000
1785275733.617,580,3000
1785275733.646,581,5000
1785275733.674,582,30000
1785275733.700,583,3000
1785275733.726,584,1000
1785275733.752,585,1000
1785275733.779,586,1000
1785275733.808,587,30000
1785275733.832,588,5000
1785275733.860,589,1000
1785275733.890,590,1000
1785275733.921,591,10000
1785275733.945,592,10000
1785275733.973,593,3000
1785275733.999,594,5000
1785275734.026,595,30000
1785275734.052,596,10000
1785275734.080,597,3000
1785275734.106,598,10000
1785275734.131,599,3000
1785275734.160,600,10000
1785275734.190,601,5000
1785275734.217,602,1000
1785275734.246,603,1000
1785275734.270,604,1000
1785275734.297,605,1000
1785275734.323,606,5000
1785275734.353,607,10000
1785275734.381,608,3000
1785275734.409,609,10000
1785275734.436,610,5000
1785275734.461,611,30000
1785275734.490,612,3000
1785275734.517,613,3000
1785275734.544,614,30000
1785275734.575,615,30000
1785275734.605,616,1000
1785275734.635,617,10000
1785275734.663,618,3000
1785275734.689,619,5000
1785275734.715,620,10000
1785275734.743,621,3000
1785275734.770,622,10000
1785275734.797,623,10000
1785275734.829,624,3000
1785275734.857,625,5000
1785275734.882,626,30000
1785275734.909,627,1000
1785275734.938,628,30000
1785275734.967,629,5000
1785275734.996,630,5000
1785275735.020,631,5000
1785275735.049,632,1000
1785275735.076,633,3000
1785275735.106,634,5000
1785275735.135,635,10000
1785275735.164,636,10000
1785275735.190,637,1000
1785275735.215,638,10000
1785275735.244,639,3000
1785275735.273,640,10000
1785275735.303,641,5000
1785275735.331,642,3000
1785275735.360,643,3000
1785275735.389,644,30000
1785275735.416,645,5000
1785275735.443,646,10000
1785275735.471,647,10000
1785275735.499,648,1000
1785275735.524,649,30000
1785275735.554,650,3000
1785275735.581,651,1000
1785275735.612,652,3000
1785275735.643,653,1000
1785275735.667,654,1000
1785275735.695,655,30000
1785275735.723,656,30000
1785275735.750,657,10000
1785275735.777,658,5000
1785275735.805,659,5000
1785275735.835,660,5000
1785275735.864,661,10000
1785275735.892,662,10000
1785275735.924,663,1000
1785275735.949,664,5000
1785275735.976,665,5000
1785275736.006,666,10000
1785275736.034,667,10000
1785275736.063,668,10000
1785275736.092,669,30000
1785275736.122,670,10000
1785275736.152,671,1000
1785275736.178,672,30000
1785275736.205,673,3000
1785275736.233,674,30000
1785275736.262,675,10000
1785275736.293,676,5000
1785275736.323,677,3000
1785275736.350,678,3000
1785275736.377,679,5000
1785275736.402,680,10000
1785275736.431,681,3000
1785275736.458,682,30000
1785275736.484,683,1000
1785275736.508,684,10000
1785275736.533,685,1000
1785275736.558,686,30000
1785275736.585,687,3000
1785275736.609,688,5000
1785275736.637,689,10000
1785275736.666,690,5000
1785275736.692,691,3000
1785275736.717,692,30000
1785275736.743,693,5000
1785275736.782,694,5000
1785275736.811,695,1000
1785275736.837,696,30000
1785275736.867,697,30000
1785275736.894,698,3000
1785275736.923,699,30000
1785275736.950,700,1000
1785275736.978,701,5000
1785275737.004,702,3000
1785275737.032,703,30000
1785275737.058,704,30000
1785275737.087,705,3000
1785275737.114,706,3000
1785275737.145,707,5000
1785275737.202,708,FAILED:2013
