ts,seq,amount
1785275565.873,605,5000
1785275565.900,606,5000
1785275565.927,607,5000
1785275565.954,608,5000
1785275565.980,609,1000
1785275566.006,610,3000
1785275566.032,611,3000
1785275566.057,612,3000
1785275566.081,613,5000
1785275566.111,614,10000
1785275566.136,615,1000
1785275566.165,616,1000
1785275566.195,617,3000
1785275566.222,618,10000
1785275566.250,619,3000
1785275566.279,620,30000
1785275566.307,621,1000
1785275566.334,622,5000
1785275566.360,623,5000
1785275566.385,624,3000
1785275566.414,625,30000
1785275566.441,626,3000
1785275566.472,627,10000
1785275566.500,628,30000
1785275566.527,629,1000
1785275566.551,630,3000
1785275566.579,631,3000
1785275566.603,632,3000
1785275566.633,633,1000
1785275566.662,634,10000
1785275566.691,635,1000
1785275566.722,636,1000
1785275566.748,637,30000
1785275566.773,638,5000
1785275566.800,639,5000
1785275566.825,640,3000
1785275566.850,641,1000
1785275566.876,642,1000
1785275566.905,643,30000
1785275566.930,644,30000
1785275566.959,645,1000
1785275566.985,646,5000
1785275567.013,647,1000
1785275567.041,648,3000
1785275567.070,649,3000
1785275567.098,650,3000
1785275567.126,651,10000
1785275567.155,652,3000
1785275567.185,653,3000
1785275567.214,654,3000
1785275567.241,655,10000
1785275567.268,656,10000
1785275567.295,657,30000
1785275567.321,658,1000
1785275567.349,659,3000
1785275567.377,660,3000
1785275567.406,661,30000
1785275567.433,662,10000
1785275567.463,663,3000
1785275567.487,664,1000
1785275567.519,665,30000
1785275567.543,666,3000
1785275567.575,667,1000
1785275567.602,668,3000
1785275567.628,669,5000
1785275567.658,670,3000
1785275567.688,671,5000
1785275567.718,672,3000
1785275567.747,673,3000
1785275567.774,674,10000
1785275567.798,675,10000
1785275567.827,676,5000
1785275567.857,677,30000
1785275567.882,678,1000
1785275567.910,679,1000
1785275567.938,680,3000
1785275567.963,681,5000
1785275567.990,682,30000
1785275568.019,683,10000
1785275568.043,684,10000
1785275568.071,685,1000
1785275568.098,686,3000
1785275568.124,687,5000
1785275568.151,688,3000
1785275568.180,689,30000
1785275568.211,690,3000
1785275568.240,691,3000
1785275568.269,692,30000
1785275568.294,693,10000
1785275568.320,694,1000
1785275568.349,695,3000
1785275568.378,696,10000
1785275568.408,697,3000
1785275568.436,698,30000
1785275568.465,699,1000
1785275568.491,700,10000
1785275568.521,701,10000
1785275568.547,702,1000
1785275568.577,703,5000
1785275568.606,704,30000
1785275568.633,705,10000
1785275568.660,706,1000
1785275568.690,707,10000
1785275568.718,708,30000
1785275568.746,709,10000
1785275568.774,710,30000
1785275568.799,711,10000
1785275568.827,712,10000
1785275568.856,713,3000
1785275568.881,714,10000
1785275568.906,715,30000
1785275568.931,716,1000
1785275568.958,717,5000
1785275568.985,718,10000
1785275569.009,719,3000
1785275569.034,720,30000
1785275569.062,721,30000
1785275569.088,722,1000
1785275569.116,723,30000
1785275569.144,724,30000
1785275569.168,725,10000
1785275569.193,726,3000
1785275569.221,727,1000
1785275569.248,728,1000
1785275569.277,729,5000
1785275569.307,730,10000
1785275569.335,731,3000
1785275569.359,732,30000
1785275569.385,733,30000
1785275569.411,734,3000
1785275569.439,735,10000
1785275569.466,736,10000
1785275569.493,737,30000
1785275569.520,738,5000
1785275569.543,739,1000
1785275569.570,740,1000
1785275569.598,741,1000
1785275569.621,742,1000
1785275569.648,743,5000
1785275569.677,744,3000
1785275569.705,745,30000
1785275569.733,746,10000
1785275569.758,747,10000
1785275569.783,748,10000
1785275569.808,749,30000
1785275569.836,750,1000
1785275569.864,751,5000
1785275569.890,752,5000
1785275569.917,753,5000
1785275569.946,754,30000
1785275569.976,755,1000
1785275570.005,756,5000
1785275570.030,757,5000
1785275570.054,758,5000
1785275570.077,759,10000
1785275570.101,760,5000
1785275570.127,761,30000
1785275570.154,762,3000
1785275570.181,763,30000
1785275570.204,764,30000
1785275570.229,765,3000
1785275570.257,766,30000
1785275570.285,767,10000
1785275570.313,768,5000
1785275570.340,769,30000
1785275570.367,770,1000
1785275570.395,771,1000
1785275570.421,772,5000
1785275570.448,773,10000
1785275570.475,774,30000
1785275570.501,775,30000
1785275570.528,776,1000
1785275570.557,777,5000
1785275570.581,778,3000
1785275570.608,779,3000
1785275570.632,780,5000
1785275570.659,781,30000
1785275570.685,782,1000
1785275570.713,783,5000
1785275570.739,784,1000
1785275570.766,785,1000
1785275570.795,786,5000
1785275570.825,787,1000
1785275570.852,788,5000
1785275570.880,789,10000
1785275570.907,790,5000
1785275570.933,791,5000
1785275570.961,792,1000
1785275570.988,793,1000
1785275571.017,794,30000
1785275571.046,795,3000
1785275571.075,796,5000
1785275571.102,797,10000
1785275571.126,798,1000
1785275571.154,799,30000
1785275571.182,800,3000
1785275571.209,801,1000
1785275571.234,802,10000
1785275571.260,803,5000
1785275571.284,804,30000
1785275571.310,805,5000
1785275571.338,806,1000
1785275571.365,807,5000
1785275571.389,808,1000
1785275571.414,809,10000
1785275571.437,810,5000
1785275571.463,811,10000
1785275571.491,812,1000
1785275571.519,813,10000
1785275571.547,814,3000
1785275571.570,815,1000
1785275571.598,816,1000
1785275571.626,817,30000
1785275571.653,818,30000
1785275571.682,819,5000
1785275571.709,820,1000
1785275571.739,821,10000
1785275571.767,822,5000
1785275571.792,823,10000
1785275571.822,824,30000
1785275571.851,825,5000
1785275571.878,826,5000
1785275571.909,827,5000
1785275571.937,828,5000
