ts,history_list_len,plain_ibd_bytes,part_ibd_bytes
1785266108.8,0,754974720,394264576
1785266109.9,0,754974720,394264576
1785266111.0,0,754974720,394264576
1785266112.0,0,754974720,394264576
1785266113.1,0,754974720,394264576
1785266114.2,0,754974720,394264576
1785266115.2,0,754974720,394264576
1785266116.3,0,754974720,394264576
1785266117.4,0,754974720,394264576
1785266118.5,0,754974720,394264576
1785266119.5,0,754974720,394264576
1785266120.6,0,754974720,394264576
1785266121.7,0,754974720,394264576
1785266122.8,0,754974720,394264576
1785266123.8,0,754974720,394264576
1785266124.9,0,754974720,394264576
1785266126.0,0,754974720,394264576
1785266127.0,1,754974720,394264576
1785266128.1,1,754974720,394264576
1785266129.2,1,754974720,394264576
1785266130.3,1,754974720,394264576
1785266131.3,1,754974720,394264576
1785266132.4,1,754974720,394264576
1785266133.5,1,754974720,394264576
1785266134.5,1,754974720,394264576
1785266135.6,1,754974720,394264576
1785266136.7,1,754974720,394264576
1785266137.7,0,754974720,394264576
1785266138.8,0,754974720,394264576
1785266139.9,0,754974720,394264576
1785266140.9,0,754974720,394264576
1785266142.0,0,754974720,394264576
1785266143.1,0,754974720,394264576
1785266144.2,0,754974720,394264576
1785266145.2,0,754974720,394264576
1785266146.3,0,754974720,394264576
1785266147.4,0,754974720,394264576
1785266148.4,0,754974720,394264576
1785266149.5,0,754974720,394264576
1785266150.6,0,754974720,394264576
1785266151.6,0,754974720,394264576
1785266152.7,0,754974720,394264576
1785266153.8,0,754974720,394264576
1785266154.8,0,754974720,394264576
1785266155.9,0,754974720,394264576
1785266157.0,0,754974720,394264576
1785266158.1,0,754974720,394264576
1785266159.1,0,754974720,394264576
1785266160.2,0,754974720,394264576
1785266161.2,0,754974720,394264576
1785266162.3,0,754974720,394264576
1785266163.4,0,754974720,394264576
1785266164.4,0,754974720,394264576
1785266165.5,0,754974720,394264576
1785266166.6,0,754974720,394264576
1785266167.7,0,754974720,394264576
1785266168.7,0,754974720,394264576
1785266169.8,0,754974720,394264576
