ts,hit_rate,young_per_1k,not_young_per_1k,pages_made_young_rate,old_pages,total_pages,reads_from_disk_rate
1785527562.0,1000,0,0,0.0,9051,24573,0.0
1785527563.0,1000,0,0,0.0,9051,24573,0.0
1785527564.0,1000,0,0,0.0,9051,24573,0.0
1785527565.0,1000,0,0,0.0,9051,24573,0.0
1785527566.0,1000,0,0,0.0,9051,24573,0.0
1785527567.0,1000,0,0,0.0,9051,24573,0.0
1785527568.0,1000,0,0,0.0,9051,24573,0.0
1785527569.0,1000,0,0,0.0,9051,24573,0.0
1785527570.0,1000,0,0,0.0,9051,24573,0.0
1785527571.0,1000,0,0,0.0,9051,24573,0.0
1785527572.0,1000,0,0,0.0,9051,24573,0.0
1785527573.0,1000,0,0,0.0,9051,24573,0.0
1785527574.0,1000,0,0,0.0,9051,24573,0.0
1785527575.0,1000,0,0,0.0,9051,24573,0.0
1785527576.0,1000,0,0,0.0,9051,24573,0.0
1785527577.0,1000,0,0,0.0,9051,24573,0.0
1785527578.0,1000,0,0,0.0,9051,24573,0.0
